epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.24743,1.65276,2.76447,1.74104,0.00467,1,0.56384,0.31745,0.95913,2.56928,1.29698,0.00012,0.00012,0.00012
2,6.32444,1.19276,2.434,1.40029,0.00458,1,0.70741,0.47249,0.91405,2.59404,1.37364,0.00024713,0.00024713,0.00024713
3,9.27113,0.96249,1.70051,1.19129,0.01925,0.8,0.78804,0.57587,0.88176,2.3494,1.22871,0.0003604,0.0003604,0.0003604
4,12.2749,0.86685,1.32306,1.0999,1,0.55273,0.81142,0.66759,0.76907,2.1636,1.1871,0.00045981,0.00045981,0.00045981
5,15.3628,0.79991,1.30569,1.10675,1,0.53141,0.80431,0.62228,0.98808,2.05527,1.31205,0.00054536,0.00054536,0.00054536
6,18.3173,0.73419,1.18921,1.097,0.96569,0.75,0.8295,0.62212,0.9423,1.63923,1.21426,0.00061705,0.00061705,0.00061705
7,21.1902,0.84974,1.17227,1.13665,1,0.80366,0.8461,0.63498,0.95717,1.59481,1.20353,0.00067488,0.00067488,0.00067488
8,24.1292,0.87368,1.10712,1.06079,1,0.84988,0.89597,0.66094,0.87384,1.8349,1.20399,0.00071885,0.00071885,0.00071885
9,27.1313,0.81468,1.16866,1.08532,0.94034,0.9,0.89698,0.7187,0.82467,1.62914,1.12628,0.00074896,0.00074896,0.00074896
10,30.0372,0.7661,1.04108,1.06086,0.94444,0.84999,0.88111,0.66867,0.87368,1.40873,1.1186,0.00076521,0.00076521,0.00076521
11,37.1006,0.70432,1.01651,1.04958,0.92619,0.75,0.75508,0.56545,0.90067,1.38397,1.1074,0.0007676,0.0007676,0.0007676
12,39.9132,0.7987,0.99048,1.07634,0.96097,0.7,0.75976,0.57942,0.89874,1.32887,1.08098,0.00075613,0.00075613,0.00075613
13,42.7836,0.75573,0.99055,0.99693,0.99033,0.8,0.84528,0.63905,0.89866,1.26283,1.08632,0.0007308,0.0007308,0.0007308
14,45.6632,0.64283,0.90692,0.963,0.99033,0.8,0.84528,0.63905,0.89866,1.26283,1.08632,0.00069161,0.00069161,0.00069161
15,48.5051,0.74463,0.9299,1.02327,0.9908,0.8,0.82545,0.60718,0.96078,1.22112,1.09883,0.000614,0.000614,0.000614
16,51.3998,0.71009,0.90142,1.04601,0.99328,0.8,0.82468,0.6085,0.96112,1.18401,1.11407,0.000515,0.000515,0.000515
17,54.4297,0.66195,0.8779,0.97454,0.99418,0.8,0.83987,0.63149,0.92008,1.13163,1.12185,0.000416,0.000416,0.000416
18,57.4549,0.68813,0.86933,1.00189,0.99337,0.8,0.86667,0.65525,0.88383,1.03117,1.10853,0.000317,0.000317,0.000317
19,60.3252,0.6506,0.85207,1.02528,0.99213,0.8,0.88145,0.67066,0.85844,0.9782,1.09044,0.000218,0.000218,0.000218
20,63.2269,0.6565,0.92783,1.00684,0.99239,0.8,0.90053,0.67015,0.84208,0.92021,1.0714,0.000119,0.000119,0.000119
