epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3815,1.11193,3.06801,1.36138,0.82426,0.17872,0.20722,0.14952,1.08029,1.99349,1.24607,0.000252773,0.000252773,0.000252773
2,51.5435,1.04074,2.0023,1.2823,0.87271,0.19207,0.2411,0.14856,1.0321,1.85362,1.25727,0.000483906,0.000483906,0.000483906
3,76.1443,1.01395,1.92348,1.24663,0.87116,0.21884,0.30793,0.21873,1.08677,1.52323,1.27012,0.000689661,0.000689661,0.000689661
4,100.961,1.02592,1.72,1.25114,0.78812,0.2401,0.31035,0.20506,1.0962,1.67901,1.28864,0.000654804,0.000654804,0.000654804
5,126.129,1.05483,1.64209,1.28735,0.86427,0.2613,0.33336,0.22539,1.07874,1.49508,1.26917,0.000616738,0.000616738,0.000616738
6,150.87,0.96788,1.52756,1.1858,0.77662,0.3151,0.30654,0.20471,1.05501,1.52119,1.23813,0.000578672,0.000578672,0.000578672
7,175.494,0.93337,1.47211,1.1902,0.82474,0.33837,0.36971,0.26843,0.96829,1.23331,1.1691,0.000540607,0.000540607,0.000540607
8,200.291,0.90438,1.29661,1.17097,0.85497,0.32367,0.36643,0.26935,0.97736,1.24626,1.15313,0.000502541,0.000502541,0.000502541
9,224.818,0.89744,1.26352,1.14035,0.90027,0.3184,0.39594,0.30073,0.89398,1.25266,1.09347,0.000464476,0.000464476,0.000464476
10,249.405,0.81771,1.16398,1.10168,0.89211,0.31266,0.38908,0.28511,0.90501,1.19624,1.12216,0.000426411,0.000426411,0.000426411
11,278.014,0.80711,1.08653,1.09361,0.93087,0.31989,0.4208,0.3114,0.88148,1.16576,1.10027,0.000388345,0.000388345,0.000388345
12,302.553,0.77457,1.00632,1.07851,0.91849,0.32716,0.39325,0.29481,0.87018,1.18261,1.10861,0.00035028,0.00035028,0.00035028
13,327.106,0.77444,1.01031,1.06932,0.92182,0.35818,0.40833,0.3203,0.84809,1.12865,1.07206,0.000312214,0.000312214,0.000312214
14,351.62,0.72562,0.95218,1.06684,0.88608,0.40467,0.42172,0.31794,0.8823,1.12586,1.09475,0.000274148,0.000274148,0.000274148
15,376.181,0.71489,0.92403,1.03611,0.84703,0.39256,0.40544,0.32127,0.82491,1.0958,1.05282,0.000236083,0.000236083,0.000236083
16,400.681,0.70762,0.86669,1.04181,0.94817,0.36511,0.41576,0.33168,0.81651,1.05268,1.04319,0.000198018,0.000198018,0.000198018
17,425.33,0.66402,0.82997,0.99651,0.90376,0.40614,0.41709,0.34052,0.78335,1.03794,1.0291,0.000159952,0.000159952,0.000159952
18,449.878,0.65613,0.78831,0.99852,0.89865,0.39453,0.41747,0.32788,0.8082,1.03976,1.03797,0.000121887,0.000121887,0.000121887
19,475.816,0.62612,0.77145,0.98517,0.92762,0.38428,0.44095,0.35481,0.78124,0.97052,1.02618,8.3821e-05,8.3821e-05,8.3821e-05
20,513.291,0.62216,0.73805,0.98905,0.93191,0.40213,0.45527,0.36757,0.75324,0.98402,1.00708,4.57555e-05,4.57555e-05,4.57555e-05
