epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.1975,1.55531,2.87229,1.66162,0.00688,0.95172,0.46191,0.27788,0.90213,2.5511,1.17836,0.00018,0.00018,0.00018
2,9.83116,1.19911,2.30967,1.3741,0.98188,0.37383,0.62417,0.41094,0.99657,2.23775,1.3557,0.00036119,0.00036119,0.00036119
3,14.3855,0.89764,1.64627,1.19198,0.83116,0.54321,0.67699,0.45308,0.96472,1.84006,1.22719,0.00052258,0.00052258,0.00052258
4,18.8291,0.91697,1.38599,1.1908,0.949,0.64162,0.76655,0.56673,0.94368,1.8381,1.24863,0.00066417,0.00066417,0.00066417
5,23.3648,0.89818,1.30143,1.08837,0.95211,0.68559,0.78405,0.58391,0.91124,1.72693,1.11971,0.00078596,0.00078596,0.00078596
6,27.8338,0.96097,1.44248,1.16867,0.92644,0.66897,0.83529,0.61956,0.91242,1.48301,1.12602,0.00088795,0.00088795,0.00088795
7,32.1793,0.84136,1.27918,1.11192,0.89969,0.68044,0.84628,0.63123,0.90139,1.39995,1.10649,0.00097014,0.00097014,0.00097014
8,36.6311,0.81313,1.15,1.11477,0.90431,0.71695,0.88037,0.61895,0.95178,1.53684,1.14425,0.00103253,0.00103253,0.00103253
9,41.1312,0.90882,1.21769,1.09839,0.87875,0.77241,0.90322,0.6611,0.88866,1.26879,1.07989,0.00107512,0.00107512,0.00107512
10,45.6832,0.80306,1.01238,1.08134,0.89996,0.8069,0.91651,0.66614,0.90231,1.02412,1.08193,0.00109791,0.00109791,0.00109791
11,53.798,0.75125,0.98662,1.04841,0.88813,0.86207,0.92092,0.68166,0.86452,1.04776,1.06892,0.00101,0.00101,0.00101
12,58.1177,0.7436,0.99744,1.02306,0.88357,0.87586,0.92915,0.69095,0.83115,1.05144,1.07061,0.000911,0.000911,0.000911
13,62.5355,0.76368,1.01854,1.04178,0.88647,0.86158,0.92215,0.69946,0.81511,1.01947,1.07076,0.000812,0.000812,0.000812
14,66.9522,0.71359,0.94427,1.03112,0.9694,0.87395,0.95571,0.74681,0.74528,0.79937,1.00879,0.000713,0.000713,0.000713
15,71.3526,0.74665,0.97507,1.00893,0.94999,0.91724,0.96285,0.75544,0.74839,0.76204,0.99177,0.000614,0.000614,0.000614
16,75.7176,0.74825,0.89633,1.02168,0.93347,0.95862,0.96844,0.75824,0.75953,0.73455,0.99286,0.000515,0.000515,0.000515
17,80.1222,0.75304,0.90993,1.0397,0.95128,0.97241,0.96905,0.75814,0.73858,0.74069,0.98212,0.000416,0.000416,0.000416
18,84.6709,0.6842,0.98428,1.04867,0.95259,0.96997,0.97133,0.77717,0.6743,0.69903,0.95589,0.000317,0.000317,0.000317
19,89.0817,0.64121,0.8481,1.00303,0.96475,0.96552,0.97615,0.79191,0.66588,0.69287,0.94927,0.000218,0.000218,0.000218
20,93.4703,0.59853,0.80597,0.97675,0.9701,0.95862,0.97695,0.79921,0.65791,0.67985,0.94393,0.000119,0.000119,0.000119
