epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.6059,1.7483,2.98334,1.70529,0.00416,0.96296,0.53908,0.34018,1.01758,2.64962,1.29487,0.00016,0.00016,0.00016
2,9.55139,1.24749,2.29564,1.33749,0.74811,0.80247,0.77584,0.45831,1.02395,2.31417,1.21404,0.00032317,0.00032317,0.00032317
3,14.2965,0.96555,1.67378,1.19542,0.96363,0.32725,0.85449,0.58898,0.88747,2.18984,1.08403,0.00046852,0.00046852,0.00046852
4,19.2544,1.08063,1.50647,1.19967,0.88617,0.38448,0.80105,0.52833,0.95559,2.1836,1.12829,0.00059605,0.00059605,0.00059605
5,23.8634,1.07437,1.51486,1.18826,0.82859,0.65651,0.77674,0.46646,1.06404,2.10523,1.20114,0.00070576,0.00070576,0.00070576
6,28.6118,1.19076,1.56681,1.20608,0.85341,0.75309,0.84905,0.54433,1.07632,1.90889,1.21355,0.00079765,0.00079765,0.00079765
7,33.5041,1.08239,1.54448,1.15745,0.8574,0.7423,0.84729,0.48314,1.23424,1.81681,1.37396,0.00087172,0.00087172,0.00087172
8,38.1794,1.03211,1.36789,1.20746,0.79357,0.77778,0.8203,0.47222,1.31661,1.661,1.40328,0.00092797,0.00092797,0.00092797
9,43.0312,0.91801,1.32216,1.11982,0.78934,0.81481,0.84343,0.52839,1.11113,1.46934,1.23574,0.0009664,0.0009664,0.0009664
10,47.6119,0.88387,1.29799,1.06241,0.79931,0.88512,0.87366,0.60331,0.98374,1.31983,1.11567,0.00098701,0.00098701,0.00098701
11,56.6956,0.88098,1.20228,1.10051,0.87303,0.8642,0.91354,0.6177,0.99193,1.21066,1.1033,0.0009898,0.0009898,0.0009898
12,61.3422,0.83846,1.19494,1.04912,0.8909,0.90739,0.93473,0.59242,1.00675,1.11335,1.11602,0.000911,0.000911,0.000911
13,65.9206,0.96283,1.203,1.05391,0.88669,0.92593,0.91629,0.63841,0.9178,1.05097,1.06227,0.000812,0.000812,0.000812
14,70.5213,0.92184,1.1975,1.03539,0.9132,0.90928,0.91926,0.67383,0.91144,1.08314,1.04579,0.000713,0.000713,0.000713
15,75.2648,0.9123,1.18967,1.09195,0.90238,0.91358,0.93935,0.70257,0.90383,1.07635,1.03592,0.000614,0.000614,0.000614
16,79.8993,0.88335,1.12807,1.02308,0.92845,0.9612,0.96609,0.75241,0.81357,0.9669,1.01516,0.000515,0.000515,0.000515
17,84.4539,0.78246,1.05586,1.01021,0.92803,0.95525,0.96796,0.74021,0.83079,0.9286,1.01328,0.000416,0.000416,0.000416
18,88.9573,0.84176,1.05966,1.03043,0.94668,0.93827,0.96113,0.72491,0.87191,0.9007,1.01583,0.000317,0.000317,0.000317
19,93.7175,0.8928,1.1876,1.06095,0.9506,0.95024,0.96369,0.76306,0.78929,0.87345,0.99166,0.000218,0.000218,0.000218
20,98.2474,0.81804,1.09117,1.04422,0.93715,0.95062,0.96474,0.77985,0.7549,0.85547,0.98089,0.000119,0.000119,0.000119
