epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.74363,1.39836,2.77698,1.63147,0.00426,1,0.62709,0.34374,0.92998,2.52575,1.23336,0.0002,0.0002,0.0002
2,11.9906,1.07451,1.86793,1.37526,0.36599,0.84615,0.71274,0.4432,1.01752,2.35354,1.49463,0.00039921,0.00039921,0.00039921
3,17.771,0.89358,1.44799,1.20698,0.0243,0.93269,0.75295,0.47484,1.04661,2.35002,1.53611,0.00057664,0.00057664,0.00057664
4,23.4933,0.97167,1.38514,1.26972,1,0.367,0.8613,0.589,0.93357,2.24591,1.26046,0.00073229,0.00073229,0.00073229
5,29.5502,0.83756,1.31239,1.15458,0.96824,0.87945,0.94036,0.68574,0.93932,1.6924,1.21784,0.00086616,0.00086616,0.00086616
6,35.2583,0.86342,1.24505,1.17887,0.92069,0.83654,0.93294,0.68753,0.88636,1.63076,1.19265,0.00097825,0.00097825,0.00097825
7,40.9782,0.9008,1.28728,1.23425,0.90538,0.73608,0.83801,0.64536,0.98434,1.5658,1.26141,0.00106856,0.00106856,0.00106856
8,46.6327,0.80655,1.177,1.10656,0.95111,0.74822,0.84788,0.64237,1.02841,1.50129,1.25825,0.00113709,0.00113709,0.00113709
9,52.3448,0.83259,1.21013,1.19013,0.84242,0.8225,0.86182,0.57924,1.04095,1.35263,1.27164,0.00118384,0.00118384,0.00118384
10,57.9012,0.815,1.13669,1.08921,0.92996,0.78846,0.88835,0.63339,1.00872,1.22265,1.25603,0.001109,0.001109,0.001109
11,67.8362,0.79976,1.07363,1.12695,0.90762,0.78846,0.89898,0.65856,0.98428,1.17105,1.25768,0.00101,0.00101,0.00101
12,73.4825,0.72755,1.00131,1.06191,0.9046,0.91172,0.9575,0.73504,0.83273,0.99801,1.13452,0.000911,0.000911,0.000911
13,79.1632,0.8298,1.0814,1.14605,0.94846,0.94231,0.98821,0.77297,0.78051,0.841,1.09222,0.000812,0.000812,0.000812
14,84.7524,0.72343,0.94563,1.04689,0.96903,0.95192,0.9865,0.76696,0.77173,0.79074,1.07421,0.000713,0.000713,0.000713
15,90.3677,0.74284,0.95584,1.0869,0.96018,0.93269,0.97642,0.79123,0.68927,0.76857,1.02603,0.000614,0.000614,0.000614
16,96.0109,0.67089,0.89822,1.0365,0.95194,0.92308,0.97977,0.81461,0.65674,0.77571,0.99974,0.000515,0.000515,0.000515
17,101.767,0.63923,0.85486,1.03774,0.98032,0.9581,0.99189,0.84195,0.61471,0.71534,0.97997,0.000416,0.000416,0.000416
18,107.339,0.6199,0.8471,1.045,0.98135,0.97115,0.99373,0.84473,0.61314,0.69304,0.9781,0.000317,0.000317,0.000317
19,112.886,0.60872,0.8388,1.03,0.98914,0.98077,0.9942,0.84131,0.60622,0.67858,0.97357,0.000218,0.000218,0.000218
20,118.733,0.5507,0.78858,1.02397,0.98822,0.98077,0.99454,0.85488,0.57371,0.65028,0.95461,0.000119,0.000119,0.000119
