epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.82606,1.00878,2.61684,1.26315,0.00903,0.97368,0.40905,0.28025,0.92318,2.63692,1.09859,0.00012,0.00012,0.00012
2,5.87473,0.91876,2.27102,1.17942,0.0089,0.92105,0.48025,0.34542,0.91117,2.71357,1.22786,0.00024713,0.00024713,0.00024713
3,8.82304,0.83466,1.55779,1.14755,1,0.28134,0.46572,0.3599,1.00047,2.56167,1.30524,0.0003604,0.0003604,0.0003604
4,11.8417,0.80775,1.52325,1.08311,0.77579,0.36442,0.50839,0.33987,0.99774,2.32234,1.20832,0.00045981,0.00045981,0.00045981
5,14.7642,0.76071,1.20248,1.01611,0.50064,0.31579,0.3396,0.1798,1.20945,2.44748,1.475,0.00054536,0.00054536,0.00054536
6,17.7114,0.76341,1.164,1.04097,0.59965,0.34211,0.39927,0.2209,1.28221,2.37762,1.50589,0.00061705,0.00061705,0.00061705
7,20.6313,0.78764,1.17608,1.09846,0.69363,0.36842,0.43294,0.25362,1.25597,2.34683,1.45725,0.00067488,0.00067488,0.00067488
8,23.5066,0.75564,1.14807,1.01613,0.88849,0.41946,0.47465,0.33846,1.18559,2.18927,1.35269,0.00071885,0.00071885,0.00071885
9,26.4093,0.69087,1.0457,0.98852,0.82527,0.39474,0.47264,0.33792,1.12428,2.19139,1.33792,0.00074896,0.00074896,0.00074896
10,29.351,0.7229,1.0899,1.06217,0.7057,0.42105,0.42205,0.27238,1.24532,2.28226,1.41576,0.00076521,0.00076521,0.00076521
11,36.0487,0.69516,1.12698,1.00779,0.68486,0.42105,0.36094,0.22858,1.32149,2.41699,1.5028,0.0007676,0.0007676,0.0007676
12,38.9205,0.69235,1.02624,1.022,0.6079,0.40825,0.33953,0.20872,1.32414,2.3825,1.48706,0.00075613,0.00075613,0.00075613
13,41.7381,0.64293,0.9397,0.97288,0.61524,0.42105,0.36552,0.22492,1.31902,2.299,1.42879,0.0007308,0.0007308,0.0007308
14,44.5826,0.63781,0.87058,0.9898,0.61524,0.42105,0.36552,0.22492,1.31902,2.299,1.42879,0.00069161,0.00069161,0.00069161
15,47.5282,0.63752,0.83111,1.00475,0.81657,0.46877,0.55059,0.41399,1.0442,1.81092,1.21501,0.000614,0.000614,0.000614
16,50.3844,0.67509,0.88626,1.03463,0.75655,0.55263,0.63438,0.46278,0.98294,1.59458,1.17134,0.000515,0.000515,0.000515
17,53.2549,0.64528,0.90374,1.00737,0.8118,0.5678,0.65208,0.48159,1.01365,1.56403,1.18189,0.000416,0.000416,0.000416
18,56.0887,0.62398,0.88742,0.96453,0.86352,0.57895,0.70788,0.50443,1.02294,1.4642,1.1439,0.000317,0.000317,0.000317
19,58.9456,0.66714,0.88749,0.99025,0.92066,0.61088,0.74739,0.53471,1.00133,1.39773,1.1299,0.000218,0.000218,0.000218
20,61.8567,0.6209,0.8483,0.9593,0.89001,0.63901,0.7813,0.55364,0.98658,1.3006,1.12274,0.000119,0.000119,0.000119
