epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.18316,1.65768,2.77177,1.69129,0.00452,1,0.74597,0.52734,0.83601,2.54811,1.04918,0.00014,0.00014,0.00014
2,6.36974,1.41617,2.45223,1.47277,0.00453,1,0.9515,0.67448,0.79591,2.42377,1.06099,0.00028515,0.00028515,0.00028515
3,9.58848,1.23297,1.66521,1.24828,0.32514,0.42105,0.46366,0.29129,0.92886,2.02153,1.24147,0.00041446,0.00041446,0.00041446
4,12.7819,1.18976,1.58645,1.25445,0.98908,0.42105,0.82859,0.57833,0.92663,1.9877,1.22162,0.00052793,0.00052793,0.00052793
5,15.9004,1.11303,1.65932,1.25341,0.86881,0.47368,0.65622,0.43552,1.09683,2.01362,1.38906,0.00062556,0.00062556,0.00062556
6,19.0237,1.26607,1.48898,1.34306,1,0.36313,0.86088,0.55816,1.026,2.11534,1.21572,0.00070735,0.00070735,0.00070735
7,22.1837,1.07793,1.36545,1.24062,0.91135,0.54203,0.77972,0.46677,1.15872,2.0332,1.25162,0.0007733,0.0007733,0.0007733
8,25.2651,1.20127,1.53282,1.27996,0.75215,0.63928,0.79845,0.50319,1.02219,1.99011,1.16424,0.00082341,0.00082341,0.00082341
9,28.394,1.1895,1.42912,1.25984,0.68655,0.89474,0.83182,0.54777,1.04578,1.70859,1.17871,0.00085768,0.00085768,0.00085768
10,31.4755,1.10077,1.30138,1.24755,0.97905,0.68421,0.88085,0.58241,0.99945,1.58274,1.18535,0.00087611,0.00087611,0.00087611
11,38.296,1.13027,1.39164,1.23987,0.98508,0.89474,0.96537,0.66786,0.91448,1.40614,1.12976,0.0008787,0.0008787,0.0008787
12,41.3598,1.08943,1.40598,1.19,0.90308,1,0.9875,0.7651,0.81385,1.29332,1.05013,0.00086545,0.00086545,0.00086545
13,44.421,1.02608,1.26013,1.18137,0.94348,1,0.995,0.76845,0.846,1.15934,1.06443,0.000812,0.000812,0.000812
14,47.4922,1.00245,1.22583,1.17432,0.93597,0.89474,0.97304,0.71552,0.8921,1.14838,1.05545,0.000713,0.000713,0.000713
15,50.5831,1.01584,1.23535,1.16629,0.88692,0.94737,0.95919,0.69983,0.93782,1.16263,1.09535,0.000614,0.000614,0.000614
16,53.636,0.99227,1.19985,1.18919,0.89487,0.94737,0.96075,0.72155,0.94003,1.0818,1.12574,0.000515,0.000515,0.000515
17,56.6429,0.88862,1.0768,1.1547,0.99398,0.94737,0.98818,0.74904,0.92503,1.02632,1.11665,0.000416,0.000416,0.000416
18,59.694,0.952,1.0621,1.10348,0.99124,0.94737,0.98818,0.74558,0.92685,0.99606,1.09807,0.000317,0.000317,0.000317
19,62.7739,0.97285,1.13984,1.16213,0.9924,0.94737,0.99024,0.72969,0.91097,1.02099,1.0923,0.000218,0.000218,0.000218
20,65.8775,0.90589,1.05336,1.05442,0.99177,0.94737,0.99024,0.72438,0.92459,1.02427,1.09637,0.000119,0.000119,0.000119
