epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.05003,1.45837,2.7612,1.60519,0.00606,1,0.62973,0.39979,0.90966,2.51999,1.17538,0.00018,0.00018,0.00018
2,10.3984,1.15404,2.00532,1.32336,1,0.1518,0.87286,0.50372,1.05928,2.14856,1.25094,0.00036119,0.00036119,0.00036119
3,15.5502,1.05442,1.65202,1.28294,0.90391,0.31892,0.74836,0.45233,0.98271,2.07897,1.22821,0.00052258,0.00052258,0.00052258
4,20.7755,1.06613,1.66626,1.23728,0.96062,0.20682,0.72132,0.46793,0.97074,2.11102,1.20058,0.00066417,0.00066417,0.00066417
5,25.95,1.02452,1.4677,1.16633,0.7963,0.73729,0.8369,0.54717,0.99484,1.72235,1.16654,0.00078596,0.00078596,0.00078596
6,31.1153,1.05799,1.50459,1.22739,0.8268,0.68775,0.80423,0.50403,1.11629,1.65604,1.27332,0.00088795,0.00088795,0.00088795
7,36.1149,0.98536,1.3024,1.19116,0.82946,0.78314,0.87672,0.56938,1.06646,1.58119,1.22585,0.00097014,0.00097014,0.00097014
8,41.2784,0.96109,1.31517,1.16821,0.80037,0.78147,0.88024,0.53439,1.11137,1.39201,1.23691,0.00103253,0.00103253,0.00103253
9,46.4648,1.00472,1.29025,1.20698,0.8003,0.84905,0.88886,0.58931,1.08841,1.28032,1.22588,0.00107512,0.00107512,0.00107512
10,51.8262,0.9445,1.23623,1.1801,0.79024,0.67797,0.76197,0.46213,1.15281,1.58613,1.34358,0.00109791,0.00109791,0.00109791
11,61.4204,0.90315,1.28315,1.15687,0.87062,0.85539,0.91772,0.59614,1.04593,1.23804,1.2417,0.00101,0.00101,0.00101
12,66.6426,0.97715,1.22221,1.1838,0.89813,0.92373,0.95747,0.69163,0.92433,1.08265,1.12054,0.000911,0.000911,0.000911
13,71.854,0.95725,1.25027,1.14243,0.97202,0.88336,0.96902,0.73743,0.83932,1.01052,1.03574,0.000812,0.000812,0.000812
14,77.0788,0.85284,1.09443,1.08167,0.9752,0.88983,0.98308,0.75125,0.8161,0.95168,1.02055,0.000713,0.000713,0.000713
15,82.1867,0.80708,1.12433,1.04274,0.92749,0.94068,0.98389,0.764,0.79511,0.91568,1.01559,0.000614,0.000614,0.000614
16,87.2311,0.80487,1.04778,1.09677,0.94704,0.99153,0.9857,0.77856,0.76749,0.8852,1.01359,0.000515,0.000515,0.000515
17,92.2484,0.78537,1.03336,1.08853,0.96691,0.99062,0.99075,0.79006,0.75977,0.85379,1.01472,0.000416,0.000416,0.000416
18,97.4388,0.78939,1.03215,1.07777,0.96606,0.96474,0.99242,0.79658,0.74725,0.77797,0.98813,0.000317,0.000317,0.000317
19,102.59,0.76556,0.95784,1.06637,0.991,0.97458,0.99373,0.80803,0.72125,0.75569,0.97194,0.000218,0.000218,0.000218
20,107.672,0.70138,0.92625,1.01513,0.99144,0.98146,0.99398,0.82834,0.69751,0.73696,0.9633,0.000119,0.000119,0.000119
