epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.53251,1.2353,2.77347,1.45737,0.00577,0.9375,0.57143,0.39627,0.62035,2.55205,1.05754,0.0002,0.0002,0.0002
2,11.337,0.8298,2.09692,1.15888,0.92596,0.52108,0.7623,0.596,0.72433,1.94573,1.16411,0.00039921,0.00039921,0.00039921
3,17.0774,0.72224,1.30102,1.0629,0.92797,0.62624,0.79133,0.59699,0.80602,1.92104,1.22839,0.00057664,0.00057664,0.00057664
4,22.8022,0.84842,1.39459,1.14977,0.8953,0.59386,0.80255,0.60417,0.92065,1.92813,1.21691,0.00073229,0.00073229,0.00073229
5,28.5174,0.82968,1.24844,1.10624,0.86349,0.70833,0.80214,0.58043,0.90779,1.80748,1.26131,0.00086616,0.00086616,0.00086616
6,34.2021,0.74153,1.15297,1.02667,0.80956,0.58333,0.70785,0.51362,0.95352,1.8054,1.29623,0.00097825,0.00097825,0.00097825
7,39.9055,0.72746,1.11626,1.08402,0.81222,0.75,0.81955,0.63686,0.91271,1.5182,1.23322,0.00106856,0.00106856,0.00106856
8,45.449,0.76761,1.14661,1.05713,0.86179,0.86601,0.91215,0.70584,0.83286,1.30189,1.12752,0.00113709,0.00113709,0.00113709
9,51.0973,0.71464,1.04798,1.00927,0.89078,0.92361,0.92475,0.73187,0.76001,1.09815,1.06631,0.00118384,0.00118384,0.00118384
10,56.8706,0.7845,1.0413,1.02399,0.90956,0.90794,0.95927,0.73364,0.75305,1.07103,1.04234,0.001109,0.001109,0.001109
11,66.766,0.67593,1.00679,0.98572,0.9684,0.90278,0.97405,0.77761,0.71512,1.01272,1.02316,0.00101,0.00101,0.00101
12,72.4075,0.71711,0.97343,0.9916,0.92012,0.95985,0.98482,0.81924,0.6711,0.82489,0.98604,0.000911,0.000911,0.000911
13,77.9589,0.62363,0.91432,1.00984,0.97477,0.91667,0.98132,0.79969,0.70112,0.83208,1.00106,0.000812,0.000812,0.000812
14,83.4366,0.63848,0.88635,0.99423,0.98126,0.95139,0.98584,0.81565,0.67265,0.81099,0.9904,0.000713,0.000713,0.000713
15,89.04,0.58566,0.87782,0.95401,0.96923,0.95139,0.9869,0.85152,0.59715,0.76926,0.96787,0.000614,0.000614,0.000614
16,94.5636,0.61212,0.82009,0.99428,0.97025,0.94444,0.98291,0.84585,0.59071,0.75615,0.95301,0.000515,0.000515,0.000515
17,100.17,0.53436,0.79456,0.93025,0.95938,0.99306,0.99162,0.86395,0.54266,0.7005,0.92484,0.000416,0.000416,0.000416
18,105.803,0.53547,0.79309,0.929,0.96495,0.99306,0.99201,0.8669,0.53,0.68609,0.92596,0.000317,0.000317,0.000317
19,111.402,0.53825,0.74064,0.95415,0.97194,0.99306,0.99225,0.87164,0.52354,0.67665,0.92492,0.000218,0.000218,0.000218
20,117.04,0.53433,0.73662,0.91142,0.97471,0.99306,0.99239,0.87839,0.5112,0.67226,0.92008,0.000119,0.000119,0.000119
