epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.14671,1.82542,2.98861,1.92794,0.00556,1,0.33091,0.15965,0.94387,2.72713,1.19232,0.00016,0.00016,0.00016
2,8.00881,1.5556,2.57593,1.73759,0.00556,1,0.46486,0.2705,0.94693,2.69916,1.34057,0.00032317,0.00032317,0.00032317
3,11.6713,1.30836,1.96758,1.5005,0.77209,0.33912,0.55017,0.32095,0.96072,2.49382,1.2316,0.00046852,0.00046852,0.00046852
4,15.3274,1.12036,1.75872,1.36092,0.9375,0.53333,0.66685,0.45705,1.05461,2.3531,1.25208,0.00059605,0.00059605,0.00059605
5,18.9008,1.02766,1.60931,1.24783,0.65926,0.5,0.57612,0.4008,1.13044,2.08941,1.32571,0.00070576,0.00070576,0.00070576
6,22.5163,1.17235,1.5976,1.34139,0.78142,0.47703,0.58808,0.35244,1.25123,2.38712,1.42882,0.00079765,0.00079765,0.00079765
7,26.078,1.17825,1.6124,1.30362,0.90093,0.4,0.56778,0.33318,1.44483,2.54694,1.65348,0.00087172,0.00087172,0.00087172
8,29.7832,0.99203,1.44597,1.26214,0.93274,0.46667,0.55267,0.3619,1.40845,2.34945,1.48096,0.00092797,0.00092797,0.00092797
9,33.3226,1.0798,1.54951,1.33488,0.86826,0.53333,0.62273,0.35454,1.43739,2.24573,1.49272,0.0009664,0.0009664,0.0009664
10,36.8534,1.1491,1.4507,1.35107,0.78927,0.49941,0.58696,0.38899,1.38983,2.13277,1.44707,0.00098701,0.00098701,0.00098701
11,44.5857,0.98915,1.42801,1.21174,0.75307,0.53333,0.55808,0.30388,1.58353,2.10469,1.64664,0.0009898,0.0009898,0.0009898
12,48.1303,1.07801,1.41976,1.21873,0.88872,0.56667,0.63994,0.34387,1.42835,2.05513,1.57154,0.000911,0.000911,0.000911
13,51.6649,1.01045,1.38122,1.24057,0.79856,0.6,0.67595,0.36069,1.26897,2.0011,1.45767,0.000812,0.000812,0.000812
14,55.2257,0.97112,1.26053,1.21081,0.69554,0.63333,0.68508,0.36309,1.2315,1.90334,1.37938,0.000713,0.000713,0.000713
15,58.7557,0.94577,1.22027,1.20929,0.89714,0.66667,0.74106,0.45452,1.1109,1.77118,1.254,0.000614,0.000614,0.000614
16,62.4169,0.82767,1.16068,1.12421,0.8257,0.66667,0.73347,0.49393,1.13194,1.62008,1.23143,0.000515,0.000515,0.000515
17,66.0708,0.92865,1.16581,1.10903,0.78989,0.66667,0.74439,0.52708,1.09811,1.57096,1.19317,0.000416,0.000416,0.000416
18,69.6093,0.9046,1.16828,1.15069,0.82635,0.66667,0.77388,0.54965,1.04322,1.46349,1.1519,0.000317,0.000317,0.000317
19,73.1941,0.83984,1.08835,1.09957,0.85642,0.7,0.82472,0.64254,0.85743,1.21933,1.059,0.000218,0.000218,0.000218
20,76.7578,0.80399,1.10538,1.05545,0.75878,0.8,0.8395,0.66203,0.82873,1.19032,1.04862,0.000119,0.000119,0.000119
