epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.90286,1.47206,2.75861,1.6985,0.00506,0.98462,0.51714,0.35616,0.93322,2.5915,1.21014,0.00022,0.00022,0.00022
2,11.9631,1.11629,2.22736,1.33459,0.88943,0.18566,0.69378,0.36927,1.08323,2.26094,1.32042,0.00043723,0.00043723,0.00043723
3,18.0905,1.06271,1.62694,1.34777,0.53092,0.33085,0.51749,0.31849,1.02042,2.15829,1.33289,0.0006307,0.0006307,0.0006307
4,24.0533,1.1268,1.69482,1.33416,0.86503,0.63077,0.75559,0.52702,1.01556,1.86612,1.36149,0.00080041,0.00080041,0.00080041
5,30.0954,1.05521,1.54299,1.29424,0.56171,0.48307,0.57494,0.32627,1.3463,1.98147,1.62211,0.00094636,0.00094636,0.00094636
6,36.104,1.11,1.57047,1.40447,0.52309,0.42187,0.47394,0.24229,1.51778,2.10178,1.60208,0.00106855,0.00106855,0.00106855
7,42.0597,1.20731,1.6788,1.44394,0.68689,0.61538,0.70045,0.40147,1.33751,1.72169,1.52363,0.00116698,0.00116698,0.00116698
8,47.9573,1.14172,1.56993,1.29309,0.65384,0.69741,0.66627,0.40123,1.30368,1.82011,1.44843,0.00124165,0.00124165,0.00124165
9,53.8598,1.02823,1.42198,1.24928,0.70922,0.73846,0.75492,0.45198,1.15256,2.44194,1.36803,0.001208,0.001208,0.001208
10,59.7919,1.11032,1.45939,1.30071,0.87185,0.73265,0.85629,0.53979,1.06286,1.8659,1.31386,0.001109,0.001109,0.001109
11,70.0561,0.95318,1.33986,1.31379,0.80984,0.76923,0.86952,0.59957,0.94047,1.38608,1.19469,0.00101,0.00101,0.00101
12,75.9801,0.9856,1.24992,1.29805,0.85259,0.75635,0.86338,0.62606,0.91749,1.30695,1.16996,0.000911,0.000911,0.000911
13,81.9086,0.90176,1.27527,1.22871,0.91362,0.81357,0.92471,0.67079,0.99642,1.21511,1.1932,0.000812,0.000812,0.000812
14,87.9137,1.02718,1.33902,1.24627,0.8457,0.86154,0.92514,0.64871,1.02375,1.26666,1.20631,0.000713,0.000713,0.000713
15,93.8302,0.88862,1.15548,1.14383,0.88055,0.85385,0.90869,0.66788,0.88212,1.17887,1.10442,0.000614,0.000614,0.000614
16,99.682,0.81592,1.12373,1.12007,0.86257,0.90769,0.94393,0.71914,0.84884,1.03212,1.082,0.000515,0.000515,0.000515
17,105.72,0.79414,1.05731,1.16375,0.94138,0.86478,0.94823,0.74586,0.80961,0.89487,1.05725,0.000416,0.000416,0.000416
18,111.663,0.93815,1.18713,1.24527,0.95166,0.90854,0.9595,0.75895,0.79531,0.89339,1.04717,0.000317,0.000317,0.000317
19,117.622,0.8464,0.99974,1.18559,0.95228,0.94615,0.9656,0.79239,0.73437,0.82702,1.01397,0.000218,0.000218,0.000218
20,123.578,0.67679,1.06469,1.03886,0.91762,0.94254,0.96554,0.7852,0.71948,0.81456,1.00596,0.000119,0.000119,0.000119
