epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,528.443,1.59812,1.83715,1.44158,0.72571,0.64187,0.71749,0.37395,1.67773,1.35848,1.46879,0.000666222,0.000666222,0.000666222
2,1031.11,1.61943,1.35299,1.47571,0.75471,0.65919,0.76098,0.41651,1.60529,1.23392,1.44823,0.00126691,0.00126691,0.00126691
3,1527.61,1.58705,1.26152,1.44933,0.78503,0.70353,0.80591,0.45683,1.51505,1.09238,1.37967,0.0018016,0.0018016,0.0018016
4,2022.66,1.52788,1.13881,1.40532,0.86268,0.76992,0.85703,0.50593,1.48453,0.97984,1.36128,0.001703,0.001703,0.001703
5,2517.52,1.4679,1.04383,1.37149,0.85583,0.78738,0.87356,0.52669,1.42685,0.93306,1.29096,0.001604,0.001604,0.001604
6,3012.34,1.42018,0.97313,1.33004,0.89053,0.80687,0.89929,0.55089,1.37585,0.86568,1.2873,0.001505,0.001505,0.001505
7,3506.57,1.38806,0.91659,1.31405,0.8945,0.82546,0.90707,0.56803,1.35176,0.82517,1.26708,0.001406,0.001406,0.001406
8,4001.37,1.35487,0.87627,1.29369,0.91129,0.82534,0.91767,0.58459,1.31543,0.79977,1.23763,0.001307,0.001307,0.001307
9,4496.17,1.32121,0.83066,1.26788,0.89847,0.85035,0.92719,0.58969,1.32224,0.76659,1.23762,0.001208,0.001208,0.001208
10,4990.46,1.30049,0.79966,1.25248,0.91564,0.84657,0.93361,0.59969,1.29633,0.73721,1.21945,0.001109,0.001109,0.001109
11,5521.01,1.26765,0.76516,1.2326,0.93566,0.87366,0.94628,0.61428,1.26718,0.7021,1.20208,0.00101,0.00101,0.00101
12,6019.28,1.25058,0.73882,1.22757,0.94073,0.88017,0.94755,0.6189,1.2542,0.6864,1.19503,0.000911,0.000911,0.000911
13,6516.37,1.23132,0.70604,1.21383,0.93621,0.87855,0.94684,0.62713,1.24221,0.66451,1.19139,0.000812,0.000812,0.000812
14,7010.63,1.2073,0.6834,1.19645,0.93821,0.88563,0.95456,0.63294,1.23475,0.65768,1.18474,0.000713,0.000713,0.000713
15,7505.01,1.18307,0.65812,1.17864,0.9426,0.90027,0.95837,0.63794,1.229,0.62419,1.17798,0.000614,0.000614,0.000614
16,7999.26,1.16961,0.63797,1.16547,0.93495,0.90566,0.95937,0.65174,1.19731,0.61536,1.15769,0.000515,0.000515,0.000515
17,8493.05,1.13996,0.61345,1.15499,0.95467,0.90328,0.96454,0.66079,1.18425,0.59684,1.14469,0.000416,0.000416,0.000416
18,8987.31,1.1193,0.59103,1.13995,0.95335,0.90989,0.96443,0.66092,1.17479,0.58508,1.14989,0.000317,0.000317,0.000317
19,9481,1.10167,0.57004,1.13025,0.95474,0.9143,0.96613,0.66628,1.15916,0.56641,1.13435,0.000218,0.000218,0.000218
20,9974.41,1.08729,0.55416,1.12006,0.9605,0.91158,0.97037,0.67185,1.1469,0.55899,1.12761,0.000119,0.000119,0.000119
